Tiempo(ms),RPM,pwm
13744,5250.0,10801
13748,4500.0,10801
13752,5250.0,10801
13756,4500.0,10801
13760,4500.0,10801
13764,5250.0,10801
13768,4500.0,10801
13772,5250.0,10801
13776,4500.0,10801
13780,5250.0,10801
13784,4500.0,10801
13788,5250.0,10801
13792,4500.0,10801
13796,4500.0,10801
13800,5250.0,10801
13804,4500.0,10801
13808,5250.0,10801
13812,5250.0,10801
13816,4500.0,10801
13820,4500.0,10801
13824,5250.0,10801
13828,4500.0,10801
13832,5250.0,10801
13836,4500.0,10801
13840,5250.0,10801
13844,4500.0,10801
13848,5250.0,10801
13852,4500.0,10801
13856,5250.0,2937
13860,4500.0,2937
13864,5250.0,2937
13868,4500.0,2937
13872,4500.0,2937
13876,5250.0,2937
13880,4500.0,2937
13884,4500.0,2937
13888,4500.0,2937
13892,4500.0,2937
13896,4500.0,2937
13900,4500.0,2937
13904,4500.0,2937
13908,4500.0,2937
13912,4500.0,2937
13916,4500.0,2937
13920,4500.0,2937
13924,3750.0,2937
13928,4500.0,2937
13932,4500.0,2937
13936,3750.0,2937
13940,4500.0,2937
13944,4500.0,2937
13948,3750.0,2937
13952,4500.0,2937
13956,3750.0,2937
13960,4500.0,2937
13964,3750.0,2937
13968,3750.0,2937
13972,4500.0,2937
13976,3750.0,2937
13980,3750.0,2937
13984,3750.0,2937
13988,3750.0,2937
13992,3750.0,2937
13996,3750.0,2937
14000,4500.0,2937
14004,3750.0,2937
14008,3000.0,2937
14012,3750.0,2937
14016,3750.0,2937
14020,3750.0,2937
14024,3750.0,2937
14028,3750.0,2937
14032,3000.0,2937
14036,3750.0,2937
14040,3750.0,2937
14044,3000.0,2937
14048,3750.0,2937
14052,3750.0,2937
14056,3000.0,2937
14060,3000.0,2937
14064,3750.0,2937
14068,3000.0,2937
14072,3750.0,2937
14076,3000.0,2937
14080,3000.0,2937
14084,3750.0,2937
14088,3000.0,2937
14092,3000.0,2937
14096,3000.0,2937
14100,3000.0,2937
14104,3000.0,2937
14108,3000.0,2937
14112,3000.0,2937
14116,3000.0,2937
14120,3000.0,2937
14124,3000.0,2937
14128,3000.0,2937
14132,3000.0,2937
14136,3000.0,2937
14140,3000.0,2937
14144,2250.0,2937
14148,3000.0,2937
14152,3000.0,2937
14156,2250.0,2937
14160,3000.0,2937
14164,3000.0,2937
14168,2250.0,2937
14172,3000.0,2937
14176,2250.0,2937
14180,3000.0,2937
14184,2250.0,2937
14188,2250.0,2937
14192,3000.0,2937
14196,2250.0,2937
14200,3000.0,2937
14204,2250.0,2937
14208,2250.0,2937
14212,2250.0,2937
14216,2250.0,2937
14220,3000.0,2937
14224,2250.0,2937
14228,2250.0,2937
14232,2250.0,2937
14236,2250.0,2937
14240,2250.0,2937
14244,2250.0,2937
14248,2250.0,2937
14252,2250.0,2937
14256,1500.0,2937
14260,2250.0,2937
14264,2250.0,2937
14268,2250.0,2937
14272,2250.0,2937
14276,1500.0,2937
14280,2250.0,2937
14284,2250.0,2937
14288,1500.0,2937
14292,2250.0,2937
14296,1500.0,2937
14300,2250.0,2937
14304,1500.0,2937
14308,2250.0,2937
14312,1500.0,2937
14316,2250.0,2937
14320,1500.0,2937
14324,2250.0,2937
14328,1500.0,2937
14332,1500.0,2937
14336,2250.0,2937
