Tiempo(ms),RPM
11338,9000.00
11342,9750.00
11346,9000.00
11350,9000.00
11354,9000.00
11358,9750.00
11362,9000.00
11366,9000.00
11370,9750.00
11374,9000.00
11378,9000.00
11382,9750.00
11386,9000.00
11390,9000.00
11394,9750.00
11398,9000.00
11402,9000.00
11406,9000.00
11410,9750.00
11414,9000.00
11418,9000.00
11422,9750.00
11426,9000.00
11430,9000.00
11434,9750.00
11438,9000.00
11442,9750.00
11446,9000.00
11450,9000.00
11454,9750.00
11458,9000.00
11462,9000.00
11466,9750.00
11470,9000.00
11474,9000.00
11478,9750.00
11482,9000.00
11486,9000.00
11490,9750.00
11494,9000.00
11498,9000.00
11502,9750.00
11506,9000.00
11510,9000.00
11514,9750.00
11518,9000.00
11522,9750.00
11526,9000.00
11530,9000.00
11534,9750.00
11538,9000.00
11542,9000.00
11546,9750.00
11550,9000.00
11554,9000.00
11558,9750.00
11562,9000.00
11566,9750.00
11570,9000.00
11574,9000.00
11578,9750.00
11582,9000.00
11586,9000.00
11590,9750.00
11594,9000.00
11598,9750.00
11602,9000.00
11606,9000.00
11610,9750.00
11614,9000.00
11618,9750.00
11622,9000.00
11626,9000.00
11630,9750.00
11634,9000.00
11638,9000.00
11642,9750.00
11646,9000.00
11650,9750.00
11654,9000.00
11658,9000.00
11662,9750.00
11666,9000.00
11670,9750.00
11674,9000.00
11678,9750.00
11682,9000.00
11686,9000.00
11690,9750.00
11694,9000.00
11698,9750.00
11702,9000.00
11706,9000.00
11710,9750.00
11714,9000.00
11718,9750.00
11722,9000.00
11726,9000.00
11730,9750.00
11734,9000.00
11738,9750.00
11742,9000.00
11746,9000.00
11750,9750.00
11754,9000.00
11758,9750.00
11762,9000.00
11766,9000.00
11770,9750.00
11774,9000.00
11778,9750.00
11782,9000.00
11786,9000.00
11790,9750.00
11794,9000.00
11798,9750.00
11802,9000.00
11806,9750.00
11810,9000.00
11814,9750.00
11818,9000.00
11822,9000.00
11826,9750.00
11830,9000.00
11834,9750.00
11838,9000.00
11842,9000.00
11846,9750.00
11850,9000.00
11854,9750.00
11858,9000.00
11862,9750.00
11866,9000.00
11870,9000.00
11874,9750.00
11878,9000.00
11882,9750.00
11886,9000.00
11890,9750.00
11894,9000.00
11898,9000.00
11902,9750.00
11906,9000.00
11910,9750.00
11914,9000.00
11918,9750.00
11922,9000.00
11926,9000.00
11930,9750.00
11934,9000.00
11938,9750.00
11942,9000.00
11946,9750.00
11950,9000.00
11954,9000.00
11958,9750.00
11962,9000.00
11966,9750.00
11970,9000.00
11974,9750.00
11978,9000.00
11982,9750.00
11986,9000.00
11990,9000.00
11994,9750.00
11998,9000.00
12002,9750.00
12006,9000.00
12010,9750.00
12014,9000.00
12018,9750.00
12022,9000.00
12026,9750.00
12030,9000.00
12034,9750.00
12038,9750.00
12042,9750.00
12046,9000.00
12050,9750.00
12054,9750.00
12058,9750.00
12062,9750.00
12066,9750.00
12070,9750.00
12074,9750.00
12078,9750.00
12082,9750.00
12086,9750.00
12090,9750.00
12094,9750.00
12098,9750.00
12102,9750.00
12106,9750.00
12110,9750.00
12114,10500.00
12118,9750.00
12122,9750.00
12126,10500.00
12130,9750.00
12134,9750.00
12138,10500.00
12142,9750.00
12146,10500.00
12150,9750.00
12154,10500.00
12158,9750.00
12162,10500.00
12166,9750.00
12170,10500.00
12174,10500.00
12178,9750.00
12182,10500.00
12186,9750.00
12190,10500.00
12194,10500.00
12198,10500.00
12202,9750.00
12206,10500.00
12210,10500.00
12214,10500.00
12218,10500.00
12222,9750.00
12226,10500.00
12230,10500.00
12234,10500.00
12238,10500.00
12242,10500.00
12246,10500.00
12250,10500.00
12254,10500.00
12258,10500.00
12262,10500.00
12266,10500.00
12270,10500.00
12274,10500.00
12278,10500.00
12282,11250.00
12286,10500.00
12290,10500.00
12294,10500.00
12298,10500.00
12302,10500.00
12306,11250.00
12310,10500.00
12314,10500.00
12318,11250.00
12322,10500.00
12326,10500.00
12330,10500.00
12334,11250.00
12338,10500.00
12342,10500.00
12346,11250.00
12350,10500.00
12354,11250.00
12358,10500.00
12362,11250.00
12366,10500.00
12370,10500.00
12374,11250.00
12378,11250.00
12382,10500.00
12386,10500.00
12390,11250.00
12394,11250.00
12398,10500.00
12402,11250.00
12406,10500.00
12410,11250.00
12414,10500.00
12418,11250.00
12422,11250.00
12426,10500.00
12430,11250.00
12434,11250.00
12438,10500.00
12442,11250.00
12446,11250.00
12450,10500.00
12454,11250.00
12458,11250.00
12462,10500.00
